idx,p808_mos,mos_sig,mos_bak,mos_ovr
196,2.9837444850376675,3.568458541359445,2.874746589167709,2.632505343925148
197,2.8958530766623363,2.974534318207492,3.693563245939363,2.5030218762145786
198,2.3003321375165666,2.5039564904978344,3.4733958163445826,1.930344074630904
199,2.62503525188991,2.6961281610189003,3.015650514032859,1.9967528941682664
200,2.7197419234684537,2.6035141456218254,3.797164125016528,2.350992898665546
201,3.525216375078474,3.5590354462710976,3.699865636827876,3.099084279307564
202,3.010995932987758,3.0597325880052866,3.7433018032231855,2.6107747593061603
203,2.2857666015625,3.005031677146873,3.177323671142552,2.443688616276771
204,2.997128520693098,3.3108336745811213,3.558113321632466,2.887718692043564
205,3.285341330936977,3.2049572644576974,3.9733836449259337,2.9082377016148127
206,2.941755703517369,2.9601786061131325,3.322026822698134,2.405236503764443
207,2.9365788868495395,3.5709055029958416,3.2492241784666143,2.851765498038742
208,3.652704307011196,3.6088026156920745,3.4245586631438583,3.022329853457594
209,3.6526097570146834,2.953125253774725,3.5171022858825483,2.531124917219876
210,2.713235412325178,2.9335245151128224,3.502207036460196,2.471890835757297
211,2.9271069254193987,3.4030605776444096,3.3074772633980047,2.8055443655626813
212,3.605447735105242,3.587574739519287,3.3268316438200785,2.892087444533732
213,3.1158120972769603,3.654989003710577,3.2276595718558734,2.93282997769915
214,2.6190575872148787,2.9486518775821646,3.475279402289144,2.4348896286107595
215,2.500323840550014,2.9053700509060567,3.5673509188716386,2.317938945867241
216,3.2376500197819302,3.54135110973851,3.197646446229539,2.854228280773259
217,3.531536374773298,3.5099830106384395,3.874645320585255,3.125296174102278
218,3.230133090700422,3.729082024351269,3.011856355305049,2.855890862860541
219,3.8772448812212255,3.393398952596996,3.9036415554710655,3.0402715941430034
220,2.338822024209158,2.8032226694055646,2.903267316405516,2.2267503967105973
221,2.537015301840646,3.608823088454443,2.6332340980834523,2.5727875385742105
222,3.394714423588344,2.935548641008716,3.718420242759872,2.5759950624106844
223,2.1919307368142262,2.492813704958401,3.229662255316664,1.8758530025727371
224,2.440967299721457,2.845240937605009,2.875627548461373,2.03272854600318
225,2.245279138738459,2.632754886103147,3.50529509085422,2.0007181041324413
226,2.392742958935824,3.113055268336636,2.9481668888601145,2.279491491248118
227,2.173771468075839,2.266092786055668,3.064723016292383,1.7396688279502102
228,3.197641069238836,3.14470790611478,3.579727867945645,2.606830050815715
229,2.6888789263638584,3.003110576138816,3.693292517984669,2.491262401535224
230,2.9883736046877774,3.1436173272941845,3.835841221775988,2.687434007522564
231,2.47585281458768,2.9564903670173703,3.212816220890454,2.2482919213542214
232,2.7165063511241567,3.057296006491747,3.619116809940715,2.5367609608790618
233,2.5359934026544746,3.091821782990269,3.029587387809487,2.282180332759262
234,2.158830339258367,2.4565427475092694,3.2802304121942587,1.8235064965188368
235,2.6098845221779565,2.543285718498973,2.4769866391307898,1.8252859376846933
236,2.7612763318148525,2.891200989929507,3.476199449197781,2.3000678742319267
237,2.3065176660364326,2.6731480224400426,3.2259442677853287,1.987934792120433
238,3.0777204903689297,3.1943830864000486,3.814377500067055,2.753700631709708
239,2.8263952298597856,3.121473893637744,2.87424039089921,2.2110689617510078
240,3.602345466613769,3.549516856358379,3.2999125310621085,2.8697809695440606
241,2.5775513648986816,3.136976424228488,2.967525689242249,2.293272115640526
242,3.299882910468362,3.644272089597118,3.59055240421624,3.121916429102949
243,2.2921450571580366,2.842589026371808,2.5892597010946767,1.9713642428332747
244,2.6521652828563345,2.9169181397949004,3.4651817954942428,2.3145795901908386
245,2.3446826934814453,2.629539738760031,3.158667471062261,2.016177996833143
246,2.9115104892037134,3.114429027746223,3.0589199532113,2.3077272264001008
247,2.842663591558283,3.224678793184478,3.785855058831936,2.753155686313184
248,2.623134591362693,2.596872470072496,3.598266231444161,2.1088748583808625
249,3.3184856068004263,3.092215092801348,3.761115823591283,2.6360204696142846
250,2.322521859949285,2.7864190956148835,2.88717863997006,1.966665137300457
251,2.4586974274028432,2.803831526723175,3.60178104006137,2.2402828369277588
252,2.842273300344294,3.0800774937910465,3.820330151106268,2.641797865783454
253,3.199355233799328,3.301981481746212,3.769191032587696,2.811904799969234
254,2.9530791586095635,3.1181012680033486,3.698892919384179,2.633047745569065
255,3.0550692081451416,3.123872084717298,3.646436978391813,2.6011863951113736
256,2.774450234004429,2.935108701253829,3.6863420361204,2.433912503800335
257,2.765296050480434,3.554120551984952,3.0695685987464434,2.717844801817005
258,2.9970126833234514,3.100543835386022,3.698558648724152,2.609420142889693
259,2.785954066685268,3.2595218800108867,3.563066427044923,2.756727786172882
260,3.49580785206386,3.46131905216605,3.4503125021723107,2.9153930926856506
261,2.395887987954276,2.805397432427901,2.8688391773432818,2.185408020135388
262,3.4210937363760814,3.479135467599506,3.332008431360346,2.878173075805077
263,3.156891277858189,3.695654266381416,3.3021298621085924,3.017574497309261
264,2.2792245660509383,2.878287047927965,3.311564077226142,2.1814212331927894
265,3.0450783457074846,3.535354173119188,3.572502204133936,2.980690127762087
266,2.450524841036116,2.950915759464018,3.346001390268125,2.308960615729135
267,2.901360784258161,3.023685150853335,3.4430567900284923,2.436322916250833
268,2.6435488632747104,2.801817855917605,3.517845722087518,2.237882117229933
269,2.284040348870413,2.696843254037684,3.539278365107273,2.091550990748916
270,3.097410542624337,3.598813874435312,4.018245862106627,3.301475257412928
271,3.6265958036695207,3.5711759196907926,3.5986621740321687,3.0121065345372444
272,3.339501278741019,3.493684509823115,3.6863685037363614,3.0745241362887623
273,3.4488450459071567,3.329383396336133,3.574722508956597,2.861172983610967
274,2.9884701115744456,3.2420255334820385,3.702335347885658,2.828740823042008
275,2.7795176846640453,2.7804936412130687,3.557155694167907,2.2709253423603024
276,3.1196843215397427,3.1510433562626288,3.687015267725816,2.6576528115080618
277,2.6654627663748607,1.642361731842573,2.181987837371591,1.4194564625830708
278,3.375979559762137,3.6330991864052793,3.849558018491628,3.217042507887499
279,3.120148726872036,3.5944242805657227,3.267667547627071,2.899110849966629
280,2.7748352459498813,3.1600684701975106,3.6968411762840594,2.744661683819426
281,2.1730552400861467,2.4754990654385125,3.374703922240576,1.8520086241713565
282,2.4293554850987027,2.852195904408945,3.0967832158176165,2.1090251407463034
283,3.209961244038173,3.507266482240853,3.242450181479948,2.75607121539804
284,2.1621733733585904,2.438561416745248,3.3954551430063438,1.7986740693493068
285,2.8698970590318957,3.541170852687043,2.519720981359504,2.5018015637503868
286,3.820054054260254,3.522380906443056,3.739721756240564,3.085046745154852
287,2.428550720214844,2.9691107378021906,2.708486813451475,2.1788609309023483
288,2.7136532919747487,2.776397002983631,2.660310387953995,1.986419973475988
289,2.691645758492606,2.905764271457567,3.5706307298781788,2.451063386492915
290,3.971238987786429,3.1588316396621936,3.925481614360087,2.857019364721006
291,3.549819673810686,3.582018455780509,3.2940765202337348,2.9392561974530054
292,3.77005672454834,3.707525780429157,4.041561677275742,3.387935162873591
293,3.433535712105887,3.087149709670476,3.7960356454418647,2.694196217944619
294,2.529704979487828,2.951188447362018,3.17373205641108,2.3059502383342934
295,3.6675005640302394,3.551415935183296,3.7355496974010287,3.118429037745936
296,3.1666295528411865,3.4405593359148,3.040126301958361,2.637699420259622
297,3.373921121869768,3.2254845916011723,3.699789219966816,2.826726010730393
298,3.5304626737322127,3.1822104758443617,3.4404076567301614,2.6472880792166014
