idx,p808_mos,mos_sig,mos_bak,mos_ovr
155,3.151832342147827,2.724843735434824,3.701291787336844,2.4159363852166265
156,3.223451852798462,3.4654444463026333,3.2397060022520527,2.7135780385454624
157,2.882542133331299,3.575238453178538,4.1047401947332265,3.2935632800310897
158,2.476324319839477,2.5950002829545027,2.3251698914488323,1.7782091170175365
159,3.693917036056519,3.4109922946928366,3.4493285651917573,2.8264670960049125
160,2.811890023095267,3.0583075514335865,3.2889742284698675,2.487083895282422
161,3.605818169457572,3.084587877674892,3.6501204047652367,2.710268837808223
162,3.646976811545236,3.229340040833669,3.8955536681067207,2.9435762928296927
163,2.7322791644505093,2.9941949191881947,3.688034108329538,2.5812742707848764
164,2.319718394960676,2.974184563421669,3.783995844705229,2.665041361651883
165,3.2280207702091763,3.1930553575374163,3.598379881424155,2.728196545955343
166,2.594228676387242,3.331202558879789,3.4431679270188,2.7457319031221337
167,2.4635960033961704,1.8770624790797392,2.926782006374672,1.4995052897489465
168,2.555152314049857,2.907076338265862,2.812236666303233,2.0860343158953163
169,2.446198804037912,2.957295670629224,3.8963860737516343,2.5703807383104254
170,3.001219374792917,2.712070048245704,3.3783277901059767,2.238322831821115
171,2.927625690187727,3.1674362985158298,3.204767326689708,2.468335630983225
172,3.3518170288630893,3.3785931497481223,4.0452585622036255,3.1228300815096395
173,2.859715359551566,3.421320419522908,3.848453113144167,3.029237755491677
174,3.807060991014753,3.4626898527278533,3.941255255530737,3.095916298088855
175,3.7037066391536166,3.276987687378933,3.5240064358422774,2.8164761380258168
176,3.620258263179234,3.317695603993833,4.080545014301992,3.0744198899119133
177,2.725901024682181,3.3433257094497466,3.2388110660918987,2.669898808535613
178,3.4082252298082625,3.511924303133928,3.499424967332136,2.907975223042848
179,2.7836741038731168,3.423954819592061,3.5192123587372,2.9072894945046674
180,3.0652670519692555,3.416867531772286,3.667750560861436,2.94849204183498
181,3.404327290398734,2.846338487918337,2.9364317703406506,2.2583330494480203
182,3.551213332584926,3.424237929911821,3.556269639966517,2.9114104448576064
183,2.8844383784702847,2.336750736905825,2.981118874998796,1.7926660464076984
184,2.6916464396885464,3.076301897394856,3.2634924129386107,2.4872575129570973
185,2.713651282446725,3.4561844155969963,3.648611169261544,3.003829889812838
186,3.0804896354675293,3.277292486754181,3.474617723005669,2.732425245028449
187,3.148519243512834,3.564088110440771,3.715720517859257,3.109954449974836
188,3.044580732073103,3.382652830833382,4.044117203695516,3.100668582599364
189,3.0181360244750977,3.287216804037288,3.3844436802615108,2.6951062986425103
190,3.592596973691668,3.18641922779849,3.630777301603478,2.757084989100636
191,2.399207694189889,3.0857024914825004,3.665433566942805,2.6704134108289783
192,2.686125244413103,3.200010785363234,2.926683638860664,2.460751018175232
193,3.3865275382995605,3.182507495238731,4.0604122124588695,2.95895035398463
194,2.5598908151899065,3.240245360207553,3.6045525684795607,2.7981284447944903
195,3.168149471282959,3.35452745481464,3.750193880190922,2.9211972277140186
196,2.88379294531686,3.3438770950877603,2.6191170364147363,2.430583213860006
197,3.1393231323787143,3.288169548579183,3.770297651559528,2.8700163845487205
198,3.049932650157384,3.434855722707764,2.596242644455924,2.466916805783387
199,3.427562577383859,2.9507449108578223,3.5328361459382345,2.4863739828252043
200,3.913202694484166,3.5141763240994903,4.00445676870268,3.2241225517447805
201,3.493931123188564,3.425165002193576,4.049044024772329,3.126570918312983
202,2.937582322529384,3.1139637706825325,1.9696874038769605,1.933444725578248
203,2.7121714183262418,3.3369422195907057,3.840820313860701,3.003253291570371
204,3.6691626480647495,3.185182807923005,3.760766677879337,2.821545305320581
205,3.0824688843318397,3.3961723120910654,3.964416297764026,3.0636990276185547
206,3.715585163661412,3.3178972487822604,3.939999175314202,3.005401645646013
207,2.47031797681536,3.2210692192465253,3.2001562982287384,2.591665286369377
208,3.2830564975738525,2.3959416163150054,2.9486295487090546,1.899229319596913
209,2.8060002667563304,3.2633517412573028,3.650630587067544,2.825389988599046
210,2.725030285971505,3.160134499086813,3.822294317099833,2.770276465063047
211,2.9843549728393555,2.72774266248689,3.078801980691028,2.089796529787272
212,2.883537939616612,3.0260166057433944,3.436659531007037,2.542516481428612
213,3.1270878314971924,2.750219933280717,3.485850843923983,2.2397470679888825
214,2.8067781925201416,3.373035608782195,2.7526592811678663,2.484806206716836
215,3.327681030545916,3.156368834955486,3.578444449109872,2.7049268648483595
216,3.366541862487793,3.267784012421604,3.840904879088386,2.898528590703024
217,2.546151297433036,2.9342366239048334,3.4886431760625336,2.4654954214022338
218,3.3060405254364014,3.176894490663398,2.830580744955536,2.4325834607621544
219,2.8442202295575822,2.438976723270406,3.7749014374187744,2.135824596850773
220,3.2995754310062955,3.175731326616886,3.518553397091321,2.690262521321807
221,3.536937815802438,3.3100821479691143,3.886395722601871,2.9506869389563604
222,2.538240160260881,2.9021708396533272,3.843985974392737,2.635431454967584
